time	x_1i	x_2i	x_3i	x_4i	x_5i	x_6i	x_7i	mag
1973-10-07	0.049492248649943726	0.08248708108323853	0.06615035398558428	0.05402479000637567	0.03553475604782685	5.1	0.009898375607203868	4.9
1973-10-14	0.002100842098176292	0.07451605674191898	0.07022683981726152	0.07439211097693403	0.048592532660600214	4.6	0.009345155519035836	5.3
1973-10-21	-0.01605154010268528	0.049492248649943726	0.08248708108323853	0.06615035398558428	0.05402479000637567	5.3	0.011059068548145664	5.5
1973-10-28	-0.02295162544299556	0.02110050750400172	0.07956966547486323	0.06957577652260337	0.060009107250745215	4.3	0.012611100730043463	0.0
1973-11-04	-0.02295162544299556	0.02110050750400172	0.07956966547486323	0.06957577652260337	0.060009107250745215	4.3	0.012611100730043463	0.0
1973-11-11	-0.02295162544299556	0.02110050750400172	0.07956966547486323	0.06957577652260337	0.060009107250745215	4.3	0.012611100730043463	0.0
1973-11-18	-0.02295162544299556	0.02110050750400172	0.07956966547486323	0.06957577652260337	0.060009107250745215	4.3	0.012611100730043463	4.7
1973-11-25	-0.041537702537612915	0.002100842098176292	0.07451605674191898	0.07022683981726152	0.07439211097693403	4.0	0.01245086834047478	0.0
1973-12-02	-0.041537702537612915	0.002100842098176292	0.07451605674191898	0.07022683981726152	0.07439211097693403	4.0	0.01245086834047478	0.0
1973-12-09	-0.041537702537612915	0.002100842098176292	0.07451605674191898	0.07022683981726152	0.07439211097693403	4.0	0.01245086834047478	5.0
1973-12-16	-0.001840355625394863	-0.02295162544299556	0.02110050750400172	0.07956966547486323	0.06957577652260337	5.0	0.012772445595399856	0.0
1973-12-23	-0.001840355625394863	-0.02295162544299556	0.02110050750400172	0.07956966547486323	0.06957577652260337	5.0	0.012772445595399856	4.6
1973-12-30	0.005586020604140929	-0.041287978378430464	0.016348371236711956	0.0850740769699333	0.06321255790953806	0.0	0.012133746930834854	0.0
1974-01-06	0.005586020604140929	-0.041287978378430464	0.016348371236711956	0.0850740769699333	0.06321255790953806	0.0	0.012133746930834854	0.0
1974-01-13	0.005586020604140929	-0.041287978378430464	0.016348371236711956	0.0850740769699333	0.06321255790953806	0.0	0.012133746930834854	4.8
1974-01-20	-0.0018511179389938406	-0.041537702537612915	0.002100842098176292	0.07451605674191898	0.07022683981726152	4.8	0.012611100730043463	4.8
1974-01-27	-0.023794350312473345	-0.009646358234785102	-0.01605154010268528	0.049492248649943726	0.08248708108323853	4.8	0.013932872908580154	4.5
1974-02-03	-0.0072556549369028325	-0.001840355625394863	-0.02295162544299556	0.02110050750400172	0.07956966547486323	4.9	0.013428918134337976	0.0
1974-02-10	-0.0072556549369028325	-0.001840355625394863	-0.02295162544299556	0.02110050750400172	0.07956966547486323	4.9	0.013428918134337976	4.9
1974-02-17	0.013189215315332237	-0.0018511179389938406	-0.041537702537612915	0.002100842098176292	0.07451605674191898	4.75	0.011512916335389334	0.0
1974-02-24	0.013189215315332237	-0.0018511179389938406	-0.041537702537612915	0.002100842098176292	0.07451605674191898	4.75	0.011512916335389334	5.4
1974-03-03	-0.005457423453981924	-0.0074263762295357924	0.005586020604140929	-0.041287978378430464	0.016348371236711956	0.0	0.013263139326752773	0.0
1974-03-10	-0.005457423453981924	-0.0074263762295357924	0.005586020604140929	-0.041287978378430464	0.016348371236711956	0.0	0.013263139326752773	0.0
1974-03-17	-0.005457423453981924	-0.0074263762295357924	0.005586020604140929	-0.041287978378430464	0.016348371236711956	0.0	0.013263139326752773	0.0
1974-03-24	-0.005457423453981924	-0.0074263762295357924	0.005586020604140929	-0.041287978378430464	0.016348371236711956	0.0	0.013263139326752773	0.0
1974-03-31	-0.005457423453981924	-0.0074263762295357924	0.005586020604140929	-0.041287978378430464	0.016348371236711956	0.0	0.013263139326752773	4.3
1974-04-07	-0.013189215315333014	0.013189215315332237	-0.0018511179389938406	-0.041537702537612915	0.002100842098176292	0.0	0.012611100730043534	5.2
1974-04-14	-0.014512764641712694	0.016280344950639014	-0.023794350312473345	-0.009646358234785102	-0.01605154010268528	5.0	0.01376378673305042	0.0
1974-04-21	-0.014512764641712694	0.016280344950639014	-0.023794350312473345	-0.009646358234785102	-0.01605154010268528	5.0	0.01376378673305042	0.0
1974-04-28	-0.014512764641712694	0.016280344950639014	-0.023794350312473345	-0.009646358234785102	-0.01605154010268528	5.0	0.01376378673305042	5.0
1974-05-05	-0.015820396080082122	-0.005457423453981924	-0.0074263762295357924	0.005586020604140929	-0.041287978378430464	4.8	0.014794746224466969	4.6
1974-05-12	0.010759184489118391	-0.02001524761578688	0.014682031166438625	-0.0072556549369028325	-0.001840355625394863	4.4	0.012934901388949826	4.7
1974-05-19	0.017629021964638558	-0.015820396080082122	-0.005457423453981924	-0.0074263762295357924	0.005586020604140929	4.45	0.013098466514263959	5.5
1974-05-26	-0.008940073816824823	0.017629021964638558	-0.015820396080082122	-0.005457423453981924	-0.0074263762295357924	4.825	0.013932872908580154	4.0
1974-06-02	0.0	0.003525117547916401	-0.016186764250634478	-0.013189215315333014	0.013189215315332237	0.0	0.01376378673305042	4.3
1974-06-09	-0.001861974935704169	0.009202246069518359	0.007172493507898503	-0.014512764641712694	0.016280344950639014	4.3	0.01245086834047478	5.3
1974-06-16	-0.0035051167599113864	-0.008940073816824823	0.017629021964638558	-0.015820396080082122	-0.005457423453981924	5.3	0.014274339635752796	4.6
1974-06-23	-0.003606857367478122	-0.009202246069518359	0.00738313539722557	0.010759184489118391	-0.02001524761578688	0.0	0.01342891813433805	0.0
