time	x_1i	x_2i	x_3i	x_4i	x_5i	x_6i	x_7i	mag
1973-10-07	0.0850740769699333	0.06321255790953806	0.07281932962831161	0.03553475604782685	0.03553475604782685	5.0	0.01061534646197669	5.1
1973-10-21	0.002100842098176292	0.07451605674191898	0.07022683981726152	0.07439211097693403	0.048592532660600214	4.6	0.009345155519035836	5.5
1973-11-04	-0.02295162544299556	0.02110050750400172	0.07956966547486323	0.06957577652260337	0.060009107250745215	4.3	0.012611100730043463	0.0
1973-11-18	-0.02295162544299556	0.02110050750400172	0.07956966547486323	0.06957577652260337	0.060009107250745215	4.3	0.012611100730043463	4.7
1973-12-02	-0.041537702537612915	0.002100842098176292	0.07451605674191898	0.07022683981726152	0.07439211097693403	4.0	0.01245086834047478	0.0
1973-12-16	-0.041537702537612915	0.002100842098176292	0.07451605674191898	0.07022683981726152	0.07439211097693403	4.0	0.01245086834047478	5.0
1973-12-30	-0.001840355625394863	-0.02295162544299556	0.02110050750400172	0.07956966547486323	0.06957577652260337	5.0	0.012772445595399856	4.6
1974-01-13	0.005586020604140929	-0.041287978378430464	0.016348371236711956	0.0850740769699333	0.06321255790953806	0.0	0.012133746930834854	4.8
1974-01-27	-0.0018511179389938406	-0.041537702537612915	0.002100842098176292	0.07451605674191898	0.07022683981726152	4.8	0.012611100730043463	4.8
1974-02-10	-0.0072556549369028325	-0.001840355625394863	-0.02295162544299556	0.02110050750400172	0.07956966547486323	4.9	0.013428918134337976	4.9
1974-02-24	0.013189215315332237	-0.0018511179389938406	-0.041537702537612915	0.002100842098176292	0.07451605674191898	4.75	0.011512916335389334	5.4
1974-03-10	-0.005457423453981924	-0.0074263762295357924	0.005586020604140929	-0.041287978378430464	0.016348371236711956	0.0	0.013263139326752773	0.0
1974-03-24	-0.005457423453981924	-0.0074263762295357924	0.005586020604140929	-0.041287978378430464	0.016348371236711956	0.0	0.013263139326752773	0.0
1974-04-07	-0.005457423453981924	-0.0074263762295357924	0.005586020604140929	-0.041287978378430464	0.016348371236711956	0.0	0.013263139326752773	5.2
1974-04-21	-0.014512764641712694	0.016280344950639014	-0.023794350312473345	-0.009646358234785102	-0.01605154010268528	5.0	0.01376378673305042	0.0
1974-05-05	-0.014512764641712694	0.016280344950639014	-0.023794350312473345	-0.009646358234785102	-0.01605154010268528	5.0	0.01376378673305042	5.0
1974-05-19	0.010759184489118391	-0.02001524761578688	0.014682031166438625	-0.0072556549369028325	-0.001840355625394863	4.4	0.012934901388949826	5.5
1974-06-02	-0.008940073816824823	0.017629021964638558	-0.015820396080082122	-0.005457423453981924	-0.0074263762295357924	4.825	0.013932872908580154	4.3
1974-06-16	-0.001861974935704169	0.009202246069518359	0.007172493507898503	-0.014512764641712694	0.016280344950639014	4.3	0.01245086834047478	5.3
1974-06-30	-0.003606857367478122	-0.009202246069518359	0.00738313539722557	0.010759184489118391	-0.02001524761578688	0.0	0.01342891813433805	4.8
1974-07-14	-0.0017377061902954516	-0.0035051167599113864	-0.008940073816824823	0.017629021964638558	-0.015820396080082122	4.6	0.014446716304759225	5.1
1974-07-28	-0.025784558866680185	-0.003606857367478122	-0.009202246069518359	0.00738313539722557	0.010759184489118391	4.4	0.0160470314169476	4.6
1974-08-11	0.008688948147812958	-0.014022164597160436	0.003565636140420381	0.0	0.003525117547916401	4.6	0.013932872908580227	6.5
1974-08-25	0.0031895893206757013	-0.011317330702563466	-0.025784558866680185	-0.003606857367478122	-0.009202246069518359	4.699999999999998	0.016973754912705346	5.0
1974-09-08	0.01586463860833831	-0.039593798919955285	0.008688948147812958	-0.014022164597160436	0.003565636140420381	5.0	0.016414518833052512	5.6
1974-09-22	-0.011255818004956229	0.02209475386158144	-0.04068439096325238	0.0017377061902946744	-0.0017377061902954516	5.05	0.01754253659723179	4.9
1974-10-06	0.008127741381887765	0.0	0.0031895893206757013	-0.011317330702563466	-0.025784558866680185	4.6	0.0160470314169476	5.0
1974-10-20	-0.013040995185107708	0.006591955100417435	0.01586463860833831	-0.039593798919955285	0.008688948147812958	5.0	0.01716229160529234	4.8
1974-11-03	0.00320694772603769	0.003172371470231305	-0.011255818004956229	0.02209475386158144	-0.04068439096325238	4.4	0.016786278865298338	4.8
1974-11-17	0.007995936287673922	-0.016213366655339678	0.01778676057001094	0.0015649574861749116	-0.0047202501474892244	4.5	0.016599866003381127	0.0
1974-12-01	0.007995936287673922	-0.016213366655339678	0.01778676057001094	0.0015649574861749116	-0.0047202501474892244	4.5	0.016599866003381127	4.6
1974-12-15	0.006519910252936857	0.00320694772603769	0.003172371470231305	-0.011255818004956229	0.02209475386158144	4.55	0.0160470314169476	5.5
1974-12-29	-0.0016078311289509095	0.006379319196269662	-0.012899229449206516	0.008127741381887765	0.0	5.5	0.016973754912705346	6.2
1975-01-12	-0.05631858127775291	0.010166465964727813	0.014631467908697291	-0.0015904727235895866	-0.013040995185107708	5.16	0.021572905308626662	5.3
1975-01-26	-0.017584077707654355	-0.017126159017350484	-0.0016078311289509095	0.006379319196269662	-0.012899229449206516	4.0	0.02157290530862677	4.8
1975-02-09	-0.004228658281219544	-0.05631858127775291	0.010166465964727813	0.014631467908697291	-0.0015904727235895866	4.9	0.022212355319721374	4.9
1975-02-23	0.009968852468299705	-0.004228658281219544	-0.05631858127775291	0.010166465964727813	0.014631467908697291	4.433333333333334	0.02073423682164136	4.5
1975-03-09	0.024469727536640676	-0.008393407369270191	-0.011600287991646918	-0.03790289084735665	0.006665200732110965	4.4	0.01930543877314436	5.3
