time	b-value	Mean square deviation	Magnitude deficit	Elapsed days	Mean magnitude	Rate of square root of energy released	Mean time between characteristic events	Coefficient of variation from mean time	mag
1977-06-19	0.5837323611335383	0.013755853759757856	0.4593714792852346	2450.0	4.677999999999999	412756268.0786845	32.144151422764224	0.7612492943423963	4.7
1977-07-03	0.5909329366887095	0.01844558743557298	0.51529854454337	2452.0	4.667999999999998	407402620.4288873	32.144151422764224	0.7612492943423963	4.9
1977-07-17	0.7492026866873388	0.01889984573616588	0.047041164320276614	1725.0	4.607999999999999	237031361.02334428	38.04190999779541	0.6724485346464573	0.0
1977-07-31	0.7492026866873388	0.01889984573616588	0.047041164320276614	1725.0	4.607999999999999	237031361.02334428	38.04190999779541	0.6724485346464573	5.0
1977-08-14	0.7721623910511626	0.017697708153660358	0.07917024513994875	1644.0	4.620999999999999	251139162.06071597	38.04190999779541	0.6724485346464573	0.0
1977-08-28	0.7721623910511626	0.017697708153660358	0.07917024513994875	1644.0	4.620999999999999	251139162.06071597	38.04190999779541	0.6724485346464573	0.0
1977-09-11	0.7721623910511626	0.017697708153660358	0.07917024513994875	1644.0	4.620999999999999	251139162.06071597	38.04190999779541	0.6724485346464573	0.0
1977-09-25	0.7721623910511626	0.017697708153660358	0.07917024513994875	1644.0	4.620999999999999	251139162.06071597	38.04190999779541	0.6724485346464573	0.0
1977-10-09	0.7721623910511626	0.017697708153660358	0.07917024513994875	1644.0	4.620999999999999	251139162.06071597	38.04190999779541	0.6724485346464573	0.0
1977-10-23	0.7721623910511626	0.017697708153660358	0.07917024513994875	1644.0	4.620999999999999	251139162.06071597	38.04190999779541	0.6724485346464573	0.0
1977-11-06	0.7721623910511626	0.017697708153660358	0.07917024513994875	1644.0	4.620999999999999	251139162.06071597	38.04190999779541	0.6724485346464573	4.9
1977-11-20	0.7732569371867296	0.018463869593121456	0.07744656672566119	1720.0	4.627999999999998	241575080.2420928	38.34587285456188	0.6699106545249338	5.1
1977-12-04	0.7730239624327465	0.018843480450361584	0.06992293663345173	1708.0	4.634999999999999	245452628.3760236	38.54714236111111	0.6651243631988993	0.0
1977-12-18	0.7730239624327465	0.018843480450361584	0.06992293663345173	1708.0	4.634999999999999	245452628.3760236	38.54714236111111	0.6651243631988993	0.0
1978-01-01	0.7730239624327465	0.018843480450361584	0.06992293663345173	1708.0	4.634999999999999	245452628.3760236	38.54714236111111	0.6651243631988993	0.0
1978-01-15	0.7730239624327465	0.018843480450361584	0.06992293663345173	1708.0	4.634999999999999	245452628.3760236	38.54714236111111	0.6651243631988993	0.0
1978-01-29	0.7730239624327465	0.018843480450361584	0.06992293663345173	1708.0	4.634999999999999	245452628.3760236	38.54714236111111	0.6651243631988993	5.7
1978-02-12	0.7752171076522006	0.017323961053770848	0.05987486919105756	1738.0	4.653999999999999	250017268.99976137	39.227787219785576	0.6604325433984969	0.0
1978-02-26	0.7752171076522006	0.017323961053770848	0.05987486919105756	1738.0	4.653999999999999	250017268.99976137	39.227787219785576	0.6604325433984969	0.0
1978-03-12	0.7752171076522006	0.017323961053770848	0.05987486919105756	1738.0	4.653999999999999	250017268.99976137	39.227787219785576	0.6604325433984969	0.0
1978-03-26	0.7752171076522006	0.017323961053770848	0.05987486919105756	1738.0	4.653999999999999	250017268.99976137	39.227787219785576	0.6604325433984969	4.0
1978-04-09	0.7749345337776403	0.0170463990746974	0.06921163953901477	1785.0	4.641999999999999	240344408.0176513	44.96995429724597	0.6544866310559011	0.0
1978-04-23	0.7749345337776403	0.0170463990746974	0.06921163953901477	1785.0	4.641999999999999	240344408.0176513	44.96995429724597	0.6544866310559011	0.0
1978-05-07	0.7749345337776403	0.0170463990746974	0.06921163953901477	1785.0	4.641999999999999	240344408.0176513	44.96995429724597	0.6544866310559011	0.0
1978-05-21	0.7749345337776403	0.0170463990746974	0.06921163953901477	1785.0	4.641999999999999	240344408.0176513	44.96995429724597	0.6544866310559011	0.0
1978-06-04	0.7749345337776403	0.0170463990746974	0.06921163953901477	1785.0	4.641999999999999	240344408.0176513	44.96995429724597	0.6544866310559011	0.0
1978-06-18	0.7749345337776403	0.0170463990746974	0.06921163953901477	1785.0	4.641999999999999	240344408.0176513	44.96995429724597	0.6544866310559011	0.0
1978-07-02	0.7749345337776403	0.0170463990746974	0.06921163953901477	1785.0	4.641999999999999	240344408.0176513	44.96995429724597	0.6544866310559011	0.0
1978-07-16	0.7749345337776403	0.0170463990746974	0.06921163953901477	1785.0	4.641999999999999	240344408.0176513	44.96995429724597	0.6544866310559011	5.2
1978-07-30	0.7743898195016727	0.017249639200864846	0.05891032435089461	1867.0	4.650999999999999	232453572.7499444	45.25101851851851	0.6500660837303484	0.0
1978-08-13	0.7743898195016727	0.017249639200864846	0.05891032435089461	1867.0	4.650999999999999	232453572.7499444	45.25101851851851	0.6500660837303484	0.0
1978-08-27	0.7743898195016727	0.017249639200864846	0.05891032435089461	1867.0	4.650999999999999	232453572.7499444	45.25101851851851	0.6500660837303484	0.0
1978-09-10	0.7743898195016727	0.017249639200864846	0.05891032435089461	1867.0	4.650999999999999	232453572.7499444	45.25101851851851	0.6500660837303484	0.0
1978-09-24	0.7743898195016727	0.017249639200864846	0.05891032435089461	1867.0	4.650999999999999	232453572.7499444	45.25101851851851	0.6500660837303484	5.0
1978-10-08	0.7774681200280901	0.0187828388803495	0.05630152807190125	1842.0	4.668999999999999	239101882.69091737	48.7367820945946	0.6586666365443982	0.0
