time	b-value	Mean square deviation	Magnitude deficit	Elapsed days	Mean magnitude	Rate of square root of energy released	Mean time between characteristic events	Coefficient of variation from mean time	mag
2002-07-21	1.3239697609266694	0.004005894762221412	-0.003968376253482121	224.0	2.7809999999999984	52025331.17129316	13.08314453125	0.7499827805082565	3.0
2002-08-04	1.5311381914537512	0.005145332297616896	0.0744674700392709	234.0	2.7609999999999983	45740423.71006486	13.269806327160495	0.7665989304203769	2.6
2002-08-18	1.53259306895944	0.005140130582050457	0.07485505734009124	241.0	2.7619999999999987	44458454.40763771	13.269806327160495	0.7665989304203769	3.4
2002-09-01	1.5060532775415132	0.002949321482630689	0.03855374517651011	247.0	2.7729999999999984	44571647.662308216	13.573137254901962	0.7918469211941292	3.1
2002-09-15	1.517271480034888	0.00327520215681209	0.04066023403761587	237.0	2.780999999999997	46929365.83271787	11.282101034858387	0.8945220062432667	5.6
2002-09-29	1.3252131224242878	0.00486056018760962	0.05864496507515194	6.0	2.725000000000001	1746690052.6402285	0.5276315235690237	0.6277154419524625	4.4
2002-10-13	0.9541731056649554	0.017920811832410694	0.008512173319538796	16.0	2.758999999999999	817904787.7852287	1.076139660493827	0.9873419297904232	4.2
2002-10-27	0.916160388890642	0.010963615684475674	-0.1294353519483078	23.0	2.8089999999999997	647937201.049456	0.9328356481481482	1.5574038469249405	4.3
2002-11-10	1.0454505199358617	0.014347447530982825	-0.2717473685016767	4.0	3.033999999999997	5069996488.364562	0.14224681712962964	0.2173901498808891	4.3
2002-11-24	1.0399051030392674	0.005079475133686324	-0.18081387817472994	14.0	2.9189999999999983	1211292852.366725	0.6302750220458553	0.7295734905948492	3.6
2002-12-08	1.01134906138431	0.005971819459894723	-0.18967813058002655	27.0	2.883	601932457.2856799	1.2565978652263372	0.6574764158430454	3.8
2002-12-22	1.0096506655852846	0.008391772185587162	-0.2246361089732716	40.0	2.910000000000001	429034555.08047587	2.088935185185185	0.8354655499308321	3.4
2003-01-05	1.1184336195652784	0.008905634347399495	-0.22216753345561013	54.0	2.862000000000001	272932072.32436544	3.0665659041394338	0.7810166680174279	3.7
2003-01-19	1.2767761237729145	0.01340719923154072	-0.21611010279787332	67.0	2.8300000000000005	194780636.15793404	3.3999734477124184	0.8557098000773854	3.1
2003-02-02	1.2854823347136193	0.013253377710470669	-0.21609108928473345	80.0	2.8380000000000014	165153488.8857432	4.114395711500975	0.9086813656200706	2.5
2003-02-16	1.2752233817338974	0.013114459323187552	-0.21707854397854254	86.0	2.828000000000001	151533550.09381828	4.225995370370371	0.9123127260443736	3.9
2003-03-02	1.157276097577123	0.002786539802274676	-0.3465302534650294	103.0	2.8340000000000014	129376029.44567733	5.163104288499025	0.8493796904118364	3.1
2003-03-16	1.151035285567697	0.00252656526937152	-0.32796961934327	114.0	2.8140000000000014	112580941.20566204	7.000053530092592	1.0808449321644076	3.3
2003-03-30	1.310474897791929	0.006882678240182967	-0.1486258394289428	126.0	2.801000000000001	96556488.15270244	7.711566116898148	1.224477750860077	2.8
2003-04-13	1.28993103105374	0.008006766837353345	-0.14951286343874992	139.0	2.7850000000000024	85442635.42498314	9.309870014245014	1.5793344301916459	2.9
2003-04-27	1.2982642531988453	0.007749796164799461	-0.14694322849148864	151.0	2.7910000000000017	79207838.62433825	9.309870014245014	1.5793344301916459	2.9
2003-05-11	1.2844978998491918	0.007722345801572298	-0.1477723148970509	162.0	2.7790000000000017	72582754.73197897	9.41528838734568	1.5324083638581356	3.0
2003-05-25	1.2987005211294111	0.006382572426829768	-0.14656407897412516	170.0	2.7880000000000016	70174994.04396391	11.37430787037037	0.8749823208610261	2.7
2003-06-08	1.2810055416770458	0.007117844359661533	-0.14263335958997958	184.0	2.7710000000000012	63073621.90105836	12.453425035612536	0.9140974578942012	2.9
2003-06-22	1.316517490752549	0.006626282052433993	-0.0993605216286455	196.0	2.766	57936198.48748229	12.453425035612536	0.9140974578942012	3.4
2003-07-06	1.3572154289489318	0.0054273669368176	-0.04870824351845693	198.0	2.7560000000000002	55291526.47688885	15.088123219373221	1.02684532818636	3.3
2003-07-20	1.44347805002348	0.0019795915497299293	0.032557294355144865	207.0	2.7399999999999998	50456835.23252063	14.856949786324785	1.0092631582559068	3.4
2003-08-03	1.4230922992427832	0.0006528025538536299	-0.0076323757408354185	209.0	2.754999999999999	51757508.50812242	13.472391975308645	0.9525673213137816	2.7
2003-08-17	1.4577615982391696	0.0014402931318215932	0.031040345741051745	218.0	2.7449999999999988	47836273.08899369	13.472391975308645	0.9525673213137816	3.4
2003-08-31	1.4472508228026395	0.0005351236450681045	0.0003120655286941165	220.0	2.764	49082587.94792621	11.948301826131686	0.8566657456119477	3.4
2003-09-14	1.403162193692571	0.0023284831125638967	-0.062082638727670066	225.0	2.7849999999999984	50227971.64332618	10.077879629629631	0.7547015359887748	2.8
2003-09-28	1.4089661010231491	0.002528550059980133	-0.05294230379531895	218.0	2.7829999999999977	51518223.89822518	9.788015350877194	0.7168301149634417	3.5
2003-10-12	1.6341681109606965	0.03367423339711253	-0.2850114096174949	216.0	2.7729999999999984	49928926.02867121	10.670480628654973	0.7504389581623157	2.5
2003-10-26	1.6341681109606965	0.03367423339711253	-0.2850114096174949	230.0	2.7729999999999984	46889774.0095347	10.670480628654973	0.7504389581623157	2.6
2003-11-09	1.644143375337174	0.030858544178397538	-0.2685236867083161	230.0	2.7619999999999982	45908787.9203236	10.899924125514405	0.7468270350366942	3.6
