time	b-value	Mean square deviation	Magnitude deficit	Elapsed days	Mean magnitude	Rate of square root of energy released	Mean time between characteristic events	Coefficient of variation from mean time	mag
1974-11-03	0.8859011614327416	0.016902762626269257	-0.4053665784562366	2442.0	5.069000000000001	318873375.8910252	49.502162842190025	0.5055859998364629	5.1
1974-11-10	0.9326605092912734	0.016014537056687848	-0.29251618879980423	2358.0	5.0470000000000015	313942963.3697666	49.502162842190025	0.5055859998364629	0.0
1974-11-17	0.9326605092912734	0.016014537056687848	-0.29251618879980423	2358.0	5.0470000000000015	313942963.3697666	49.502162842190025	0.5055859998364629	5.8
1974-11-24	0.9588620035086636	0.017196106752269843	-0.24001752986198446	2328.0	5.0440000000000005	312803468.8733331	49.502162842190025	0.5055859998364629	4.5
1974-12-01	0.959047738982376	0.015078564485964454	-0.2283816829106051	2296.0	5.0310000000000015	310238384.3755313	49.502162842190025	0.5055859998364629	0.0
1974-12-08	0.959047738982376	0.015078564485964454	-0.2283816829106051	2296.0	5.0310000000000015	310238384.3755313	49.502162842190025	0.5055859998364629	0.0
1974-12-15	0.959047738982376	0.015078564485964454	-0.2283816829106051	2296.0	5.0310000000000015	310238384.3755313	49.502162842190025	0.5055859998364629	0.0
1974-12-22	0.959047738982376	0.015078564485964454	-0.2283816829106051	2296.0	5.0310000000000015	310238384.3755313	49.502162842190025	0.5055859998364629	0.0
1974-12-29	0.959047738982376	0.015078564485964454	-0.2283816829106051	2296.0	5.0310000000000015	310238384.3755313	49.502162842190025	0.5055859998364629	0.0
1975-01-05	0.959047738982376	0.015078564485964454	-0.2283816829106051	2296.0	5.0310000000000015	310238384.3755313	49.502162842190025	0.5055859998364629	0.0
1975-01-12	0.959047738982376	0.015078564485964454	-0.2283816829106051	2296.0	5.0310000000000015	310238384.3755313	49.502162842190025	0.5055859998364629	4.9
1975-01-19	0.9594320191292828	0.013475151231654405	-0.21976894548639606	2100.0	5.023	333858737.1467428	49.502162842190025	0.5055859998364629	5.0
1975-01-26	0.9587061384345452	0.012280638515568569	-0.215025900382936	2071.0	5.017	334611747.8569425	50.45051167052468	0.5262334712281587	5.9
