time	b-value	Mean square deviation	Magnitude deficit	Elapsed days	Mean magnitude	Rate of square root of energy released	Mean time between characteristic events	Coefficient of variation from mean time	mag
1974-06-16	0.6715593262356	0.025051831303346976	-0.9558710159244992	2317.0	4.883000000000001	288286643.92712694	12.170426264679316	0.9585024318193754	5.3
1974-06-30	0.7355061624525745	0.01809633820905709	-0.6863365109257558	1663.0	4.825000000000002	346525963.65936786	12.280478574504741	0.9668684297244952	4.8
1974-07-14	0.7434758278311551	0.017936919331923352	-0.651715356769679	1142.0	4.816000000000002	494284237.00941575	12.233329387626267	0.9742526268139328	5.1
1974-07-28	0.7968624940414766	0.009019229848082537	-0.5604020044947005	749.0	4.7730000000000015	633937487.0140318	12.18243158436214	0.9810446702760232	4.6
1974-08-11	0.9152961945339052	0.01581917671751716	-0.26134007322280617	691.0	4.742000000000003	610747558.296404	12.395225946054753	1.0025587569773144	6.5
1974-08-25	0.9025954108019952	0.02231888334675435	0.06318119455546523	631.0	4.690000000000003	593439115.3489393	12.1680859375	0.9979865415646856	5.0
1974-09-08	0.903400566885129	0.02315234618497557	0.06088088459045249	588.0	4.696000000000003	641312659.3097914	11.641922713529857	0.9744277403927656	5.6
1974-09-22	0.933201978429214	0.027403101595319126	0.12173459166020795	581.0	4.704000000000003	661464909.7426866	11.459648611111113	0.9661255915888304	4.9
1974-10-06	0.9331917074597204	0.027636968407009268	0.12096879376927296	583.0	4.705000000000003	660218197.1581768	11.254986805555555	0.9561038680743196	5.0
1974-10-20	0.9346510255794503	0.028832613639645274	0.11894943005269633	581.0	4.7130000000000045	668576557.0023628	11.060948851495723	0.9537791477116596	4.8
1974-11-03	0.937424500989224	0.028623342070355537	0.12227831023599388	581.0	4.718000000000004	669892624.5876883	10.848000133547009	0.9352093023591728	4.8
1974-11-17	0.9412591639408684	0.026969050555073325	0.13683479928872178	579.0	4.710000000000004	662508327.9475166	10.770514500349407	0.9348423958064402	0.0
1974-12-01	0.9412591639408684	0.026969050555073325	0.13683479928872178	579.0	4.710000000000004	662508327.9475166	10.770514500349407	0.9348423958064402	4.6
1974-12-15	0.9436182552222296	0.02586168221144481	0.14630778163083935	607.0	4.7050000000000045	625733485.1275243	11.012516835016834	0.9297372899010768	5.5
1974-12-29	0.9243325943278418	0.02444023253118012	0.09828678436180384	611.0	4.711000000000004	634243016.3990693	11.443967286862335	0.9630120851801128	6.2
1975-01-12	0.8877800032821124	0.016466723231797188	0.0031830473106007067	610.0	4.736000000000004	694276511.8922226	11.136774477023316	0.9326147465564436	5.3
1975-01-26	0.8861964838227291	0.017173856170065487	-0.005024234525714988	596.0	4.741000000000003	716809434.2442727	10.998247813786008	0.9159629689811992	4.8
1975-02-09	0.8841464847442555	0.017010538785806814	-0.006392447964803871	610.0	4.735000000000004	697595091.1018115	11.085971785464707	0.9213389064749044	4.9
1975-02-23	0.885125544898231	0.01633214263135471	-0.0017063009838311773	608.0	4.733000000000003	696174912.4103148	11.120936213991769	0.933587206183761	4.5
1975-03-09	0.8827006190146014	0.015270962216796176	-0.0008929918378282052	598.0	4.7230000000000025	700889853.2791626	10.986389111467238	0.92968808765333	5.3
1975-03-23	0.8855430205057415	0.0198437169171858	-0.02292738422268137	583.0	4.763000000000003	754202144.9683249	10.680702306079665	0.9118916723648248	4.8
1975-04-06	0.8907352186752238	0.019534259819292875	-0.004453659625315076	594.0	4.757000000000003	730554913.7969098	10.822658393347051	0.9291057585772424	4.8
1975-04-20	0.8921214922368824	0.019977140101084118	-0.004104005831773172	570.0	4.762000000000003	764523464.9532797	10.344529040404039	0.8977733010787718	5.5
1975-05-04	0.8811109584182081	0.017263649647259762	-0.025370836602242264	559.0	4.752000000000003	776220861.5526834	10.109097853535351	0.8700890611434438	4.9
1975-05-18	0.8908064637292066	0.01636526624073683	0.014541766593070271	561.0	4.733000000000003	748464840.2842451	9.370448288690474	0.8686144601084679	5.5
1975-06-01	0.8786861101767809	0.015391315310986222	-0.016357106840024116	492.0	4.7310000000000025	861878820.3574582	9.007772205075446	0.8462266577735532	4.7
1975-06-15	0.8775239499370031	0.014829459764233091	-0.01581269749081926	475.0	4.726000000000003	888200106.0528164	8.745952131376661	0.8160360239461988	5.3
1975-06-29	0.8727898573201532	0.014861753919025347	-0.026294845444841286	478.0	4.721000000000003	875364017.7093438	7.716212657232705	1.0934956828636344	4.9
1975-07-13	0.8757259356036244	0.015180236749554168	-0.012876957261319431	427.0	4.717000000000001	970999573.4397297	7.759922348484848	1.0941972182787576	4.8
1975-07-27	0.8761131145629143	0.015476045476371863	-0.013422363593194042	432.0	4.719000000000003	961899014.7693623	7.742131313131312	1.0908852567913971	4.5
1975-08-10	0.8771426403732645	0.015590466468354916	-0.012645376947096665	445.0	4.722000000000003	935510123.6304547	7.915785796957673	1.1068930915297963	4.5
1975-08-24	0.8768576936682329	0.015496844304609387	-0.01268021004996278	462.0	4.721000000000003	900318036.7239693	8.127773644179895	1.1073792554000954	4.8
1975-09-07	0.8840112776944056	0.015226138442127684	0.010969228857542037	464.0	4.714000000000002	879576732.2762668	7.777599826388888	1.1285297138252253	5.2
1975-09-21	0.8876704713426331	0.014278039561161528	0.016397304159026405	463.0	4.7200000000000015	882938729.9195242	7.736985461338532	1.1316565005702135	4.7
1975-10-05	0.8930093700236251	0.013535906390869741	0.04481254873825869	465.0	4.705000000000002	856326742.1281023	7.991680036717754	1.149854567774804	4.4
1975-10-19	0.9069873083491452	0.013204264397759248	0.06012333561562677	473.0	4.705000000000001	841284498.307268	7.952833820662768	1.1352124023411545	4.9
1975-11-02	0.9071671380363312	0.013314131708632444	0.0594228909226695	479.0	4.706	831990947.9792355	8.230763279727096	1.1138201290063392	4.9
1975-11-16	1.0439100762111109	0.01931572555193274	0.011019442496371212	459.0	4.684	741809903.215463	7.646884023854362	1.0709983029386934	4.4
1975-11-30	1.024419547310928	0.019285984262273882	0.008777430684234309	468.0	4.673	714075290.8528987	7.646884023854362	1.0709983029386934	4.0
1975-12-14	1.0213562954325082	0.018702979332199082	0.00776431308062353	468.0	4.665	709015569.8583603	7.746454541826308	1.0817743526554993	4.4
1975-12-28	1.0206411997290663	0.01848740571597124	0.007617304793106072	480.0	4.6629999999999985	689928039.0575111	7.822134705977907	1.0862427651486244	4.8
1976-01-11	1.0211405212850515	0.017303676670339278	0.015800210866205866	485.0	4.654	673313306.87832	8.532019675925927	0.9679299606449584	5.0
1976-01-25	0.9981945674212902	0.01428098774528129	-0.020081570977431795	468.0	4.648	681623672.1181775	8.163317901234567	0.9210939156625504	5.1
1976-02-08	0.9946440964779856	0.013604604061781178	-0.030351439278498482	462.0	4.651	694683222.1430901	8.030753330084469	0.9061540734614	4.9
1976-02-22	0.9887289947587063	0.013358280891347878	-0.03567342440562271	432.0	4.64	737513046.8482622	7.751460476680382	0.938428550247708	5.0
1976-03-07	1.015594386226759	0.01886372245318544	0.01357222239296263	429.0	4.64	736089785.7312787	7.556098916997354	0.9049172193125607	4.8
1976-03-21	1.1116937650595122	0.02365948739266337	-0.5194312736116835	430.0	4.606	638315237.6959008	7.773182449494951	0.9337821655598963	4.9
1976-04-04	1.1526309469814937	0.023855977618120285	-0.4570720740982885	425.0	4.6	633038750.2910335	7.268921130952381	0.8958570662295441	5.0
1976-04-18	1.145301838541121	0.02548316783638236	-0.4689846980422558	405.0	4.6019999999999985	669562260.3146602	7.036133650097465	0.8779255320682601	4.4
1976-05-02	1.1558364215145611	0.023535947371776174	-0.4448892009151928	408.0	4.587	648613850.5171325	7.028930224867724	0.8691808751828448	4.6
1976-05-16	1.2572400092845242	0.030236846701236417	-0.3059481986459769	417.0	4.5680000000000005	606281412.0844009	7.224269005847952	0.8865354703577836	4.8
1976-05-30	1.2549253499213109	0.026944924245638813	-0.3008115731759222	409.0	4.5539999999999985	605803968.8478782	7.310788108710563	0.8816325226668792	4.3
1976-06-13	1.2537822956813751	0.026712009815449828	-0.3010979928189599	410.0	4.552	602984623.4181846	7.447845256813418	0.8962825778028841	4.4
1976-06-27	1.2495731923998112	0.02544306153633357	-0.3010239497980498	424.0	4.542999999999998	576785354.4315635	7.580850127087872	0.8980016481393531	4.8
1976-07-11	1.4056487959974542	0.038254942776403525	-0.14156802661638945	431.0	4.532999999999999	547211373.8206494	8.235939058048434	0.8515316263516224	0.0
1976-07-25	1.4056487959974542	0.038254942776403525	-0.14156802661638945	431.0	4.532999999999999	547211373.8206494	8.235939058048434	0.8515316263516224	4.8
1976-08-08	1.4047723671802728	0.037820224820762686	-0.14134325769606004	458.0	4.530999999999999	513524616.0929972	8.95523828976035	0.8477383875694039	4.6
1976-08-22	1.4112776527783557	0.03635561033597425	-0.13622964537239746	451.0	4.533999999999999	521172636.98710674	8.594086538461537	0.8201978885035567	4.3
1976-09-05	1.5039048927531002	0.0555837324705673	-0.25033421155386026	457.0	4.523	494397321.8887028	8.594086538461537	0.8201978885035567	5.1
1976-09-19	1.4554986321023358	0.05961278837107451	-0.29750821606325584	466.0	4.534	497995138.62105775	8.960410879629631	0.837311031028215	5.1
1976-10-03	1.4269648893988631	0.06092625805875351	-0.3251095712050178	459.0	4.538	511359158.9976557	8.934326888162671	0.8248665503495314	5.1
1976-10-17	1.344657405014047	0.06909771683704914	-0.4946481960826592	475.0	4.53	486123644.7665948	8.777286342592589	0.8065583200094514	5.0
1976-10-31	1.3248078228984024	0.07536216282713942	-0.5218121934737523	437.0	4.543	541550201.8199061	8.513174700435732	0.7618320401997958	5.0
1976-11-14	1.3148868789808184	0.0783725601743406	-0.5357857267041366	432.0	4.55	554685071.9591178	8.408812636165576	0.7511109787831847	5.3
1976-11-28	1.3043284226865108	0.06424548456864844	-0.4526721481997793	440.0	4.550999999999998	547302999.3974125	8.242718091866378	0.7441736251548144	6.1
1976-12-12	1.121409292966564	0.037242198500353735	0.1144561239802906	423.0	4.589	663167632.8320693	7.690286512928022	0.7219202096200794	4.9
1976-12-26	1.121409292966564	0.037242198500353735	0.1144561239802906	420.0	4.589	667904544.4951557	7.7958717679944085	0.7300525463195571	4.7
1977-01-09	1.120485727437173	0.03597474495777553	0.11691366776782885	421.0	4.583	660997327.2882067	7.9351928284416475	0.7470475083229091	4.8
1977-01-23	1.1237187232603405	0.03719851379591221	0.11637758709453737	429.0	4.592	655174424.5571318	7.823024477023318	0.7409224651880659	5.0
1977-02-06	1.1259495304179328	0.03979615379050372	0.11103854169612593	434.0	4.606	659288732.2251847	7.2086615410052906	0.7865807567807086	4.8
1977-02-20	1.1297341916180634	0.041347000166938284	0.11049177127711918	431.0	4.617	671867960.7390068	7.1882690772669235	0.7937643751279694	5.4
1977-03-06	1.0819284686874309	0.030111808940314518	0.02697175185340672	418.0	4.629	713414510.8342812	7.16382183908046	0.7923265756200917	5.1
1977-03-20	1.0750218522413095	0.03156484441323232	0.009127254247780492	430.0	4.637	704504695.6811414	7.503296174463937	0.8233833936349624	5.2
1977-04-03	1.1021826577540432	0.032817427952809175	0.055900977502970406	420.0	4.642	724059987.3763815	7.123288234355044	0.7776099943928709	5.3
1977-04-17	1.0884701112934785	0.0297123877516486	0.01882269082819921	410.0	4.666	764500393.7415273	6.749095871913577	0.759160285615045	5.3
1977-05-01	1.0752740538325751	0.026405885587259426	-0.006983077823381478	415.0	4.672	762370381.5728399	7.0339842278719376	0.7949814094239828	5.4
1977-05-15	1.0428330921766564	0.02151729318318632	-0.0683099881695508	420.0	4.679999999999999	768701666.409897	6.9914481324544875	0.7905740339221754	5.3
1977-05-29	1.0281312312412716	0.020376884419497275	-0.09718192155934703	421.0	4.682	773914945.3023465	7.142259738186463	0.8055247079104787	5.0
1977-06-12	1.0288539683656837	0.02152579398667197	-0.10060294403676108	421.0	4.69	781454577.8588191	7.1393873587570615	0.809524666188591	5.5
1977-06-26	1.0676054249444742	0.029378039858877887	-0.044408818232214216	425.0	4.707	797451604.5898505	6.961050540123456	0.8071886084077523	5.0
1977-07-10	1.0748405909870296	0.03232105717044958	-0.04547131008022287	408.0	4.732999999999999	852628489.5879258	5.833639503761575	0.8279316267646416	5.0
1977-07-24	1.078777422415972	0.03470208206140927	-0.04787958187197994	386.0	4.750999999999999	918507936.0527157	5.768937776395799	0.8364738277914391	5.2
1977-08-07	1.0755634757584172	0.03724269230210203	-0.061559596854410266	361.0	4.765999999999998	1002904898.139858	5.188969056372548	0.9237959866769564	4.8
1977-08-21	1.0775601285193377	0.03743701689204021	-0.060425189198815225	375.0	4.770999999999998	968915542.6420565	5.362095578368222	0.9397559374356724	0.0
1977-09-04	1.0775601285193377	0.03743701689204021	-0.060425189198815225	375.0	4.770999999999998	968915542.6420565	5.362095578368222	0.9397559374356724	4.9
1977-09-18	1.0786646733281475	0.039532421560839616	-0.0632412409098464	388.0	4.780999999999998	947973036.6387104	5.195613095238095	0.9725130850545172	5.1
1977-10-02	1.084740470944403	0.043525511956288745	-0.06285021026467598	380.0	4.794999999999998	980747797.1929274	5.222470582561728	0.9816671824459929	4.7
1977-10-16	1.0865762441645526	0.041912517888932084	-0.05568645216241652	388.0	4.788999999999998	950872150.9477206	4.889730149670219	1.146236166042606	4.7
1977-10-30	1.168489549884045	0.0313576557322287	0.021077492301668777	372.0	4.7799999999999985	973483849.1553906	4.904776851851851	1.1611624126694984	4.5
